,ID,Age,Gender,Native_Language,Stimulus,Reaction_Time,Word
98,1,20,Male,Non-English,0,0.18116330000339076,get
99,1,20,Male,Non-English,0,0.2844226000015624,a
100,1,20,Male,Non-English,0,0.23371420000330545,buzzing-noise
101,1,20,Male,Non-English,0,0.33649180000065826,like
102,1,20,Male,Non-English,0,0.25429140000778716,"that,"
103,1,20,Male,Non-English,0,0.2275322000059532,just
104,1,20,Male,Non-English,0,0.32128730000113137,buzzing
105,1,20,Male,Non-English,0,0.2663274999940768,and
106,1,20,Male,Non-English,0,0.3379529999947408,"buzzing,"
107,1,20,Male,Non-English,0,0.38388179999310523,without
108,1,20,Male,Non-English,0,0.27681970001140144,its
109,1,20,Male,Non-English,0,0.3142828999989433,meaning
110,1,20,Male,Non-English,0,0.30393069999990985,something.
111,1,20,Male,Non-English,0,0.2795934000023408,If
112,1,20,Male,Non-English,0,0.30149769999843556,there’s
113,1,20,Male,Non-English,0,0.26426229999924544,a
114,1,20,Male,Non-English,0,0.28327230000286363,"buzzing-noise,"
115,1,20,Male,Non-English,0,0.2459512000059476,somebody’s
116,1,20,Male,Non-English,0,0.3278636000031838,making
117,1,20,Male,Non-English,0,0.39703649999864865,a
118,1,20,Male,Non-English,0,0.380495699995663,"buzzing-noise,"
119,1,20,Male,Non-English,0,0.3162400000001071,and
120,1,20,Male,Non-English,0,0.2848932000051718,the
121,1,20,Male,Non-English,0,0.24998649999906775,only
122,1,20,Male,Non-English,0,0.24988829999347217,reason
123,1,20,Male,Non-English,0,0.2403786999930162,for
124,1,20,Male,Non-English,0,0.26099510000494774,making
125,1,20,Male,Non-English,0,0.24671320000197738,a
126,1,20,Male,Non-English,0,0.2792323000030592,buzzing-noise
127,1,20,Male,Non-English,0,0.2190341000095941,that
128,1,20,Male,Non-English,0,0.21407049999106675,I
129,1,20,Male,Non-English,0,0.20835580000129994,know
130,1,20,Male,Non-English,0,0.2231235000072047,of
131,1,20,Male,Non-English,0,0.1914896999951452,is
132,1,20,Male,Non-English,0,0.2111406000040006,because
133,1,20,Male,Non-English,0,0.23745819999021478,you’re
134,1,20,Male,Non-English,0,0.21596069999213796,a
135,1,20,Male,Non-English,0,0.24338720001105685,bee.
136,1,20,Male,Non-English,0,0.26383669998904224,"
Then"
137,1,20,Male,Non-English,0,0.2667022999958135,he
138,1,20,Male,Non-English,0,0.31025249999947846,thought
139,1,20,Male,Non-English,0,0.2846608000108972,another
140,1,20,Male,Non-English,0,0.3077722000016365,long
141,1,20,Male,Non-English,0,0.26430740000796504,"time,"
142,1,20,Male,Non-English,0,0.2956455000094138,and
143,1,20,Male,Non-English,0,0.22989820000657346,said:
144,1,20,Male,Non-English,0,0.28293840000696946,‘And
145,1,20,Male,Non-English,0,0.28223219999927096,the
146,1,20,Male,Non-English,0,0.24078870000084862,only
147,1,20,Male,Non-English,0,0.1977279999991879,reason
148,1,20,Male,Non-English,0,0.22282979999727104,for
149,1,20,Male,Non-English,0,0.2292204999976093,being
150,1,20,Male,Non-English,0,0.22443260000727605,a
151,1,20,Male,Non-English,0,0.2954226000001654,bee
152,1,20,Male,Non-English,0,0.23931269999593496,that
153,1,20,Male,Non-English,0,0.2904096000129357,I
154,1,20,Male,Non-English,0,0.35359969999990426,know
155,1,20,Male,Non-English,0,0.28860980000172276,of
156,1,20,Male,Non-English,0,0.23755489999894053,is
157,1,20,Male,Non-English,0,0.30225090000021737,making
158,1,20,Male,Non-English,0,0.45002750000276137,"honey.’
And"
159,1,20,Male,Non-English,0,0.45076910000352655,then
160,1,20,Male,Non-English,0,0.3394432000059169,he
161,1,20,Male,Non-English,0,0.3048774999915622,got
162,1,20,Male,Non-English,0,0.24658580000686925,"up,"
163,1,20,Male,Non-English,0,0.2702800999977626,and
164,1,20,Male,Non-English,0,0.25513069999578875,said:
165,1,20,Male,Non-English,0,0.2905641000106698,‘And
166,1,20,Male,Non-English,0,0.2625746999983676,the
167,1,20,Male,Non-English,0,0.25607650000893045,only
168,1,20,Male,Non-English,0,0.24852320000354666,reason
169,1,20,Male,Non-English,0,0.25656829999934416,for
170,1,20,Male,Non-English,0,0.2956599999888567,making
171,1,20,Male,Non-English,0,0.23199919999751728,honey
172,1,20,Male,Non-English,0,0.3053239000000758,is
173,1,20,Male,Non-English,0,0.2620877000008477,so
174,1,20,Male,Non-English,0,0.22777060000225902,as
175,1,20,Male,Non-English,0,0.31259590000263415,I
176,1,20,Male,Non-English,0,0.28731949999928474,can
177,1,20,Male,Non-English,0,0.29000660000019707,eat
178,1,20,Male,Non-English,0,0.2317590000020573,it.’
179,1,20,Male,Non-English,0,0.25793780000822153,So
180,1,20,Male,Non-English,0,0.31852259999141097,he
181,1,20,Male,Non-English,0,0.2391096000064863,began
182,1,20,Male,Non-English,0,0.24895959999412298,to
183,1,20,Male,Non-English,0,0.23118770000291988,climb
184,1,20,Male,Non-English,0,0.2535490999871399,the
185,1,20,Male,Non-English,0,0.26415109999652486,tree.
