,ID,Age,Gender,Stimulus,Cogs,Response,Correct,Reaction_Time,Reaction_time
0,,,,,,,1.0,,
1,,,,6,8,right,,,3.646012500001234
2,,,,,,,1.0,,
3,,,,8,7,left,,,2.645434900012333
4,,,,,,,1.0,,
5,,,,2,6,right,,,2.37077940000745
6,,,,,,,1.0,,
7,,,,1,5,left,,,2.25556950000464
8,,,,,,,1.0,,
9,,,,5,6,right,,,2.714026100002229
10,,,,,,,1.0,,
11,,,,7,8,right,,,3.5078303999907803
12,,,,,,,1.0,,
13,,,,4,7,left,,,3.1415415999945253
14,,,,,,,1.0,,
15,,,,3,5,left,,,2.520192700001644
16,001,20,male,,,,,,
