#timestamp, amount of minutes the scores were hidden, 0:15 score, 0:30 score, 0:45 score, 1:00 score, 1:15 score, 1:30 score, 1:45 score, 2:00 score
1530172618.0, 0, 1, 1, 1, 1, 2, 2, 3, 3
1530172667.0, 0, 2, 2, 2, 1, 1, 1, 1, 1
1530172653.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530172717.0, 0, 1, 1, 2, 2, 2, 2, 2, 2
1530172736.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530172820.0, 0, 2, 2, 2, 2, 4, 5, 3, 5
1530172800.0, 0, 1, 2, 2, 2, 2, 2, 2, 2
1530172849.0, 0, 2, 2, 2, 4, 4, 5, 5, 5
1530172848.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530172832.0, 0, 1, 1, 1, 1, 1, 2, 2, 2
1530172853.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530172917.0, 0, 1, 2, 6, 8, 9, 8, 9, 10
1530172923.0, 0, 1, 2, 1, 1, 2, 3, 4, 4
1530173064.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530173051.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530173042.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530173079.0, 0, 2, 2, 2, 2, 2, 2, 3, 3
1530173101.0, 0, 1, 4, 5, 5, 5, 5, 7, 9
1530173120.0, 0, 1, 1, 1, 2, 2, 2, 3, 5
1530173116.0, 0, 1, 1, 1, 1, 1, 1, 2, 2
1530173149.0, 0, 2, 3, 3, 3, 3, 3, 3, 3
1530173185.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530173199.0, 0, 1, -1, 1, 4, 7, 9, 7, 7
1530173251.0, 0, 0, 0, 0, 0, -1, 0, 0, -1
1530173274.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530173265.0, 0, 3, 4, 6, 8, 9, 10, 13, 14
1530173279.0, 0, 1, 1, 1, 1, 1, 1, 1, 2
1530173324.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530173304.0, 0, 1, 1, 1, 1, 1, 2, 2, 2
1530173366.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1530173366.0, 0, 2, 2, 2, 3, 3, 3, 3, 3
1530173330.0, 0, 1, 1, 1, 1, 3, 2, 3, 3
1530173393.0, 0, 2, 3, 5, 7, 6, 7, 8, 9
1530173383.0, 0, 1, 1, 2, 2, 2, 2, 2, 2
1530173377.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530173412.0, 0, 3, 6, 7, 9, 11, 11, 12, 15
1530173445.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530173517.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530173494.0, 0, 1, 1, 1, 1, 2, 2, 2, 2
1530173551.0, 0, 2, 1, -2, -2, -4, -4, -4, -2
1530173579.0, 0, 0, -1, 0, 1, 1, 1, 1, 1
1530173615.0, 0, 2, 2, 3, 5, 6, 8, 8, 9
1530173660.0, 0, 0, 1, 1, 1, 2, 2, 2, 2
1530173657.0, 0, 2, 2, 3, 3, 4, 5, 6, 6
1530173690.0, 0, 2, 4, 5, 5, 5, 5, 7, 7
1530173679.0, 0, 0, -4, -6, -6, -8, -7, -7, -8
1530173678.0, 0, 3, 5, 7, 7, 8, 8, 10, 12
1530173711.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530173714.0, 0, -2, 1, 2, 1, 1, 2, 1, 1
1530173771.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530173767.0, 0, 0, -3, -4, -5, -4, -2, -3, -3
1530173733.0, 0, 1, 0, 2, 4, 7, 8, 10, 10
1530173778.0, 0, 1, 1, 1, 0, 0, 1, 1, 1
1530173842.0, 0, 1, 1, 1, 3, 4, 3, 6, 6
1530173840.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530173824.0, 0, 1, 1, 1, 1, 1, 0, -1, -1
1530173817.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530173854.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530173852.0, 0, 2, 4, 5, 9, 9, 11, 12, 11
1530173877.0, 0, -2, -5, -5, -6, -5, -5, -4, -4
1530173871.0, 0, 2, 3, 5, 6, 7, 8, 7, 7
1530173869.0, 0, 1, 1, 0, -1, 0, -1, 0, 0
1530173894.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530174030.0, 0, 6, 11, 12, 18, 20, 21, 21, 21
1530174013.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530174067.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530174039.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530174031.0, 0, 3, 5, 4, 4, 4, 4, 7, 7
1530174083.0, 0, 1, 2, 3, 4, 5, 6, 6, 5
1530174076.0, 0, 3, 5, 5, 5, 4, 5, 5, 3
1530174076.0, 0, 1, 1, 1, 1, 1, 3, 3, 3
1530174092.0, 0, 3, 4, 4, 5, 5, 4, 6, 6
1530174133.0, 0, 2, 2, 3, 5, 5, 3, 7, 5
1530174131.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530174130.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530174216.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530174198.0, 0, 0, -3, -4, -3, -3, 0, -1, -1
1530174278.0, 0, 2, 2, 2, 3, 3, 3, 3, 3
1530174273.0, 0, 1, 1, 1, 2, 2, 3, 3, 3
1530174237.0, 0, 1, 1, 1, 3, 3, 3, 4, 4
1530174231.0, 0, 2, 2, 3, 4, 4, 5, 4, 5
1530174285.0, 0, 1, 1, 1, 1, 1, 2, 2, 4
1530174282.0, 0, 1, 1, 2, 2, 2, 2, 2, 2
1530174300.0, 0, 1, 1, 0, 0, 1, 1, 1, 0
1530174371.0, 0, 1, 2, 2, 2, 3, 3, 3, 3
1530174369.0, 0, 2, 2, 2, 2, 2, 2, 2, 2
1530174401.0, 0, 1, 1, 3, 3, 4, 6, 7, 7
1530174392.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530174438.0, 0, 4, 5, 8, 9, 9, 8, 9, 9
1530174426.0, 0, 1, 1, 1, 1, 1, 2, 2, 2
1530174413.0, 0, 3, 5, 6, 7, 8, 8, 9, 8
1530174450.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530174472.0, 0, 1, 0, 0, -1, -1, 0, 0, 0
1530174472.0, 0, 3, 9, 11, 13, 16, 18, 22, 21
1530174471.0, 0, 1, 2, 7, 8, 9, 12, 12, 12
1530174463.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530174457.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530174502.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530174552.0, 0, 2, 1, 0, 0, -2, -3, 0, -2
1530174542.0, 0, 1, 1, 1, 3, 3, 3, 3, 2
1530174528.0, 0, 3, 4, 4, 6, 6, 6, 6, 5
1530174527.0, 0, 1, 0, 0, 0, -1, -3, -4, -4
1530174561.0, 0, 1, 2, 2, 2, 2, 2, 2, 2
1530174668.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530174664.0, 0, 1, 1, 1, 0, 0, 1, 1, 1
1530174660.0, 0, 1, 3, 4, 5, 5, 7, 7, 8
1530174641.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530174677.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530174741.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530174737.0, 0, 1, 1, 4, 4, 7, 7, 7, 6
1530174771.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530174813.0, 0, 1, 0, -1, -1, -2, -3, -1, -1
1530174812.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530174836.0, 0, 2, 2, 2, 2, 2, 2, 2, 2
1530174890.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530174861.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530174913.0, 0, 1, 1, 1, 1, 1, 1, 1, 2
1530174909.0, 0, 1, 1, 1, 0, 0, 0, 0, 0
1530174902.0, 0, 1, 2, 2, 3, 3, 3, 3, 3
1530174960.0, 0, 1, 1, 1, 0, 0, 0, 0, 0
1530174959.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530175013.0, 0, 8, 14, 16, 21, 25, 25, 39, 53
1530174997.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530175039.0, 0, 4, 4, 4, 5, 5, 5, 7, 6
1530175032.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530175132.0, 0, 1, 1, 1, 1, 1, 2, 2, 2
1530175127.0, 0, 1, 1, 1, 1, 2, 2, 2, 2
1530175121.0, 0, 1, 2, 2, 1, 1, 1, 2, 2
1530175105.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1530175143.0, 0, 2, 2, 2, 3, 3, 3, 3, 3
1530175160.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530175356.0, 0, 2, 3, 5, 5, 5, 6, 7, 12
1530175389.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530175437.0, 0, 1, 1, 1, 1, 1, 1, 2, 2
1530175423.0, 0, 1, 2, 2, 2, 2, 2, 2, 2
1530175418.0, 0, 1, 0, 0, 0, 0, 0, 0, 0
1530175447.0, 0, 0, 0, 0, -1, 0, 0, 0, 0
1530175442.0, 0, 2, 3, 3, 3, 3, 3, 3, 3
1530175479.0, 0, 2, 6, 8, 13, 15, 16, 19, 24
1530175470.0, 0, 4, 4, 5, 10, 14, 16, 20, 20
1530175469.0, 0, 5, 11, 15, 19, 24, 24, 28, 31
1530175504.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530175504.0, 0, 1, 1, 1, 1, 1, 1, 1, 2
1530175503.0, 0, 1, 1, 0, -1, -1, -1, -1, -2
1530175494.0, 0, 2, 3, 3, 5, 4, 7, 9, 9
1530175554.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530175549.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530175589.0, 0, 0, 0, -2, -5, -5, -4, -3, 0
1530175627.0, 0, 2, 5, 6, 5, 7, 5, 7, 8
1530175626.0, 0, 1, 1, 1, 0, 0, 0, 1, 1
1530175621.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530175614.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530175609.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530175608.0, 0, 2, 2, 2, 2, 2, 2, 2, 3
1530175657.0, 0, 1, 1, 1, 2, 4, 4, 5, 4
1530175647.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530175647.0, 0, 2, 2, 4, 5, 5, 5, 6, 7
1530175644.0, 0, 2, 2, 2, 3, 3, 3, 5, 4
1530175724.0, 0, 3, 3, 3, 3, 4, 5, 6, 5
1530175706.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530175760.0, 0, 1, 1, 2, 2, 2, 2, 2, 2
1530175771.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530175784.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530175839.0, 0, 4, 7, 12, 14, 17, 20, 21, 22
1530175833.0, 0, 5, 9, 12, 17, 21, 24, 26, 26
1530175831.0, 0, 3, 4, 4, 4, 5, 6, 6, 6
1530175817.0, 0, 1, 0, 2, 4, 4, 5, 4, 5
1530175810.0, 0, 1, 2, 3, 3, 3, 3, 3, 3
1530175901.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530175892.0, 0, 2, 3, 4, 5, 7, 8, 10, 10
1530175885.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530175880.0, 0, 1, 1, 1, 2, 2, 2, 2, 2
1530175951.0, 0, 1, 2, 2, 2, 2, 2, 2, 2
1530175933.0, 0, 1, 2, 3, 3, 3, 3, 3, 3
1530175932.0, 0, 1, 4, 4, 5, 5, 4, 4, 5
1530175999.0, 0, 3, 4, 4, 3, 3, 2, 3, 4
1530175993.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530176010.0, 0, 1, 1, 0, 0, 0, 1, 1, 1
1530176097.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530176095.0, 0, 1, 1, 1, 0, 0, 0, 0, 0
1530176149.0, 0, 1, 1, 1, 2, 2, 2, 2, 2
1530176111.0, 0, 2, 1, 1, 1, 3, 3, 4, 4
1530176170.0, 0, 1, 0, 0, 0, 0, 0, 0, 0
1530176232.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530176231.0, 0, 1, 1, 1, 2, 2, 2, 2, 2
1530176263.0, 0, 1, 1, 2, 3, 3, 3, 3, 5
1530176292.0, 0, 1, 1, 3, 3, 4, 3, 6, 6
1530176279.0, 0, 1, 1, 1, 1, 1, 1, 2, 2
1530176381.0, 0, 2, 2, 2, 2, 2, 2, 2, 2
1530176367.0, 0, 2, 0, 0, -1, -1, -1, 0, 0
1530176412.0, 0, 1, 1, 1, 1, 3, 3, 3, 4
1530176405.0, 0, 3, 2, 2, 3, 3, 2, 3, 1
1530176438.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530176437.0, 0, 2, 3, 7, 8, 13, 16, 21, 23
1530176475.0, 0, 6, 11, 13, 14, 16, 18, 20, 22
1530176458.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530176444.0, 0, 2, 3, 3, 3, 3, 4, 7, 5
1530176498.0, 0, 1, 1, 2, 2, 2, 3, 3, 3
1530176526.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530176567.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530176547.0, 0, 1, 2, 3, 3, 3, 3, 3, 3
1530176602.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530176636.0, 0, 3, 3, 4, 4, 4, 5, 3, 5
1530176609.0, 0, 2, 2, 2, 3, 3, 3, 3, 3
1530176686.0, 0, 1, 1, 1, 2, 1, 1, 1, 1
1530176667.0, 0, 0, 0, -1, -2, -2, -1, -1, -2
1530176746.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530176744.0, 0, 3, 3, 2, 3, 3, 2, 2, 2
1530176731.0, 0, 1, 2, 2, 3, 5, 5, 6, 7
1530176772.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530176766.0, 0, 2, 1, 1, 1, 1, 1, 1, 1
1530176763.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530176756.0, 0, 1, 1, 1, 2, 3, 4, 3, 6
1530176750.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530176802.0, 0, 1, 2, 2, 2, 2, 2, 2, 2
1530176849.0, 0, 1, 0, 0, 0, -1, -1, -1, -1
1530176841.0, 0, 1, 0, -1, -1, 0, 0, 0, 0
1530176828.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530176875.0, 0, 2, 2, 2, 2, 2, 2, 2, 2
1530176893.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530176889.0, 0, 2, 2, 2, 2, 2, 2, 2, 2
1530176888.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530176916.0, 0, 1, 2, 3, 3, 3, 3, 3, 3
1530176896.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530176994.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530177049.0, 0, 1, 1, 1, 1, 2, 2, 2, 2
1530177048.0, 0, 3, 5, 9, 11, 12, 15, 17, 18
1530177046.0, 0, 1, 2, 3, 4, 5, 5, 8, 6
1530177038.0, 0, 1, 3, 3, 3, 3, 3, 3, 3
1530177021.0, 0, 1, 1, 1, 1, 2, 2, 2, 2
1530177007.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530177084.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530177078.0, 0, 2, 1, 2, 1, 2, 4, 6, 6
1530177125.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530177120.0, 0, 5, 5, 8, 9, 10, 8, 10, 10
1530177117.0, 0, 1, 1, 1, 1, 2, 2, 2, 2
1530177155.0, 0, 1, 1, 1, 1, 0, 0, 0, 0
1530177248.0, 0, 1, 1, 1, 1, 1, 2, 2, 2
1530177244.0, 0, 1, 1, 2, 2, 2, 2, 2, 2
1530177242.0, 0, 1, 1, 1, 1, 1, 1, 0, 0
1530177239.0, 0, 5, 7, 8, 9, 8, 7, 8, 8
1530177306.0, 0, 0, 1, 1, 1, 1, 1, 1, 1
1530177352.0, 0, 1, 3, 3, 3, 3, 3, 4, 4
1530177344.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1530177320.0, 0, 2, 4, 3, 4, 4, 4, 3, 3
1530177309.0, 0, 1, -1, -2, -3, -6, -6, -5, -6
1530177371.0, 0, 2, 2, 3, 2, 1, 3, 2, 1
1530177393.0, 0, 2, 3, 5, 5, 6, 7, 8, 7
1530177382.0, 0, 0, 3, 2, 1, 3, 2, 5, 4
1530177438.0, 0, 1, 1, 1, 1, 1, 1, 1, 2
1530177430.0, 0, 2, 3, 3, 4, 4, 6, 8, 9
1530177461.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530177474.0, 0, 1, 1, 2, 2, 2, 2, 2, 2
1530177466.0, 0, 2, 4, 4, 6, 10, 16, 19, 21
1530177544.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530177540.0, 0, 4, 5, 10, 10, 13, 16, 18, 20
1530177543.0, 0, 2, 2, 2, 2, 2, 2, 2, 2
1530177574.0, 0, 1, 0, 0, 0, 0, 1, 1, 2
1530177564.0, 0, 1, 1, 1, 0, 1, 1, 1, 0
1530177562.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530177551.0, 0, 2, 1, 2, 2, 2, 2, 2, 1
1530177607.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530177604.0, 0, 3, 5, 7, 7, 9, 9, 8, 9
1530177601.0, 0, 1, 1, 2, 2, 2, 2, 2, 2
1530177587.0, 0, 3, 4, 6, 7, 5, 6, 7, 7
1530177656.0, 0, 1, 1, 3, 4, 4, 3, 4, 4
1530177643.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530177642.0, 0, 2, 2, 2, 2, 2, 2, 2, 2
1530177639.0, 0, 3, 4, 6, 8, 8, 10, 8, 7
1530177638.0, 0, 1, 1, 2, 2, 2, 2, 2, 2
1530177637.0, 0, 5, 8, 11, 14, 15, 17, 23, 23
1530177691.0, 0, 1, 1, 2, 2, 2, 2, 2, 2
1530177685.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530177683.0, 0, -1, -2, -2, -3, -2, -3, -2, -2
1530177738.0, 0, 2, 2, 2, 2, 2, 2, 2, 2
1530177736.0, 0, 2, 3, 6, 7, 6, 7, 5, 5
1530177799.0, 0, -3, -5, -3, -3, -4, -4, -6, -6
1530177781.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530177756.0, 0, 2, 1, 1, 0, -1, -1, -4, -5
1530177749.0, 0, 3, 5, 6, 8, 10, 10, 12, 13
1530177837.0, 0, 1, 1, 1, 0, 0, 0, 0, 0
1530177814.0, 0, 1, 1, 1, 1, 2, 2, 2, 2
1530177810.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530177871.0, 0, 1, 1, 1, 3, 4, 5, 5, 8
1530177866.0, 0, 2, 2, 2, 2, 2, 2, 2, 2
1530177910.0, 0, 2, 2, 2, 2, 3, 5, 3, 4
1530177936.0, 0, 1, 1, 1, -1, -2, 0, -2, 0
1530177929.0, 0, 1, 0, -3, -1, -1, -2, 0, 1
1530177917.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530177917.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530177983.0, 0, 5, 7, 7, 7, 7, 7, 6, 8
1530177981.0, 0, 2, 3, 4, 4, 5, 6, 6, 7
1530178002.0, 0, 1, 3, 3, 3, 3, 3, 4, 6
1530178037.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530178030.0, 0, 1, 1, 1, 1, 0, 0, 0, 0
1530178027.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530178018.0, 0, 2, 2, 2, 2, 2, 1, 1, 1
1530178060.0, 0, 3, 4, 4, 6, 7, 8, 9, 11
1530178041.0, 0, 2, 2, 4, 4, 4, 5, 3, 5
1530178120.0, 0, 2, 2, 2, 2, 2, 2, 2, 2
1530178117.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530178090.0, 0, 1, 2, 2, 2, 2, 2, 2, 2
1530178139.0, 0, 1, 1, 1, 1, 1, 1, 2, 2
1530178132.0, 0, 4, 4, 3, 3, 3, 3, 3, 3
1530178149.0, 0, 4, 4, 3, 3, 3, 3, 3, 3
1530178144.0, 0, 1, 2, 5, 7, 7, 6, 7, 7
1530178182.0, 0, 2, 2, 2, 2, 2, 2, 2, 2
1530178173.0, 0, 1, 2, 2, 2, 2, 2, 2, 2
1530178161.0, 0, 1, 2, 3, 4, 4, 4, 4, 4
1530178224.0, 0, 1, 1, 1, 1, 1, 2, 2, 2
1530178220.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530178217.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530178212.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530178239.0, 0, 12, 13, 14, 21, 23, 24, 25, 26
1530178238.0, 0, 1, 1, 1, 1, 1, 1, 2, 3
1530178233.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
