Project,Client,Title,Duration
Akkú app and backend website,Nerodirect S.A.,Josue Prieto-Paz,15:13:59
Blomstermanden,Johnny Haugaard,Design notes,02:12:14
Blomstermanden,Johnny Haugaard,Design presentation,05:00:07
Blomstermanden,Johnny Haugaard,Finishing Touches,07:21:25
Blomstermanden,Johnny Haugaard,Genopstart,04:59:27
Blomstermanden,Johnny Haugaard,Logo design,00:14:04
Blomstermanden,Johnny Haugaard,Ringer,00:01:27
Blomstermanden,Johnny Haugaard,Skitsering,00:10:18
Blomstermanden,Johnny Haugaard,Web design,13:16:22
Blomstermanden,Johnny Haugaard,Web design presentation,02:37:52
Blomstermanden,Johnny Haugaard,Web development,22:08:20
Blomstermanden,Johnny Haugaard,Webflow testside,03:04:08
Education,,21 tips for speeding up your design workflow DDC  SkillShare,02:06:53
Education,,Customizing Type DDC- SkillShare,01:09:22
Education,,EOT,12:09:06
Education,,Flutter,11:20:49
Education,,Gary Vaynerchuk: SkillShare,01:37:25
Education,,Git bash and file management,01:00:23
Education,,How to create a startup- SkillShare,00:40:45
Education,,Live website breakdown: Advanced website with Webflow,01:12:42
Education,,React Native,08:31:11
Education,,SEO Vestjysk Marketing,04:01:08
Education,,"UI & UX, Daniel Scott: SkillShare",00:04:45
Exposure Content,,Behance Boy Boysen,00:10:24
Exposure Content,,Behance LaunchCDN,02:06:21
Exposure Content,,Behance Wombat Servers,03:57:00
Exposure Content,,Behance Zonode,03:20:19
Exposure Content,,DGSB: Loading animation,00:36:30
Exposure Content,,Hjemmeside,00:06:44
Exposure Content,,LinkedIn Page,01:01:00
Exposure Content,,New website,05:37:08
Exposure Content,,One.com transition fra webflow,00:24:14
Exposure Content,,sbn_ui Website Design,02:12:35
Forretning,,Change of business APPART,01:08:22
Forretning,,Decoration,00:06:53
Forretning,,Dell ProSupport+,00:06:20
Forretning,,Failure of Business Proposition: Cognition,02:03:17
Forretning,,Hjemmeside,01:17:11
Forretning,,Idé: sozial,02:42:52
Forretning,,Instagram,00:15:11
Forretning,,Køre på arbejde,00:30:18
Forretning,,Lobo Contract ApS,00:47:49
Forretning,,Planlægning,03:59:54
Forretning,,Testimonials on website,00:20:55
Forretning,,Todo,00:21:31
Forretning,,Translation: #23650877,01:33:20
Forretning,,Translation: #23650881,01:31:11
Forretning,,Translation: #23650885,01:39:04
Forretning,,Translation: #23652574,01:28:40
Forretning,,Translation: #23652576,01:01:10
Forretning,,Translation: #23659981,01:30:39
Regnskab,,Regnskab,00:34:03
Regnskab,,Skat,00:51:58
Regnskab,,Skatteindbetaling,00:27:57
Site Arrow,Site Arrow Inc,ARCH Visualization,00:14:39
Translation,,#23845029,02:02:44
Wombat Servers,Site Arrow Inc,Backup Vault page design,00:30:15
Wombat Servers,Site Arrow Inc,Backups Page design,00:06:32
Wombat Servers,Site Arrow Inc,Blog Page design,02:02:44
Wombat Servers,Site Arrow Inc,Blog Post design,02:03:32
Wombat Servers,Site Arrow Inc,Cart Header and Footer design,00:12:05
Wombat Servers,Site Arrow Inc,Comm,02:13:08
Wombat Servers,Site Arrow Inc,Comm and review,05:13:27
Wombat Servers,Site Arrow Inc,Continued game servers image work,08:57:00
Wombat Servers,Site Arrow Inc,Dedicated Servers page design,02:19:51
Wombat Servers,Site Arrow Inc,Ensuring copyright,01:08:07
Wombat Servers,Site Arrow Inc,Feedback changes,00:37:10
Wombat Servers,Site Arrow Inc,Game Servers page design,00:28:02
Wombat Servers,Site Arrow Inc,General Web Page design,00:29:02
Wombat Servers,Site Arrow Inc,Home Page design,00:08:45
Wombat Servers,Site Arrow Inc,Horizontal Pricing design,01:10:25
Wombat Servers,Site Arrow Inc,Images: ARK Survival Evolved,00:45:48
Wombat Servers,Site Arrow Inc,Images: Arma III,00:23:26
Wombat Servers,Site Arrow Inc,Images: Conan Exiles,00:37:28
Wombat Servers,Site Arrow Inc,Images: CS:GO,00:25:27
Wombat Servers,Site Arrow Inc,Images: CS:S,00:15:39
Wombat Servers,Site Arrow Inc,Images: Minecraft,00:21:06
Wombat Servers,Site Arrow Inc,Invoice,00:13:22
Wombat Servers,Site Arrow Inc,Loading animation,00:54:37
Wombat Servers,Site Arrow Inc,Mobile Responsive design,10:04:52
Wombat Servers,Site Arrow Inc,"Notes, clean-up and export",01:19:36
Wombat Servers,Site Arrow Inc,Preparing for export,01:41:47
Wombat Servers,Site Arrow Inc,Promotions page design,00:45:25
Wombat Servers,Site Arrow Inc,Virtual Server and Web Hosting design,00:14:05
Wombat Servers,Site Arrow Inc,White shape svg,00:11:16
